,diff_no_breach,total_breach_area,Unnamed: 0,num_breaches,breach_category
0,48253320.0,68288.93920696298,loc_0279_218,218.0,100 - 294
1,48339504.0,84463.55013159192,loc_0345_263,263.0,100 - 294
5,45945144.0,60233.690953609774,loc_0387_190,190.0,100 - 294
6,44709732.0,40787.93248786262,loc_0207_140,140.0,100 - 294
8,46563660.0,78468.19121680905,loc_0296_230,230.0,100 - 294
10,46669932.0,60118.99836819025,loc_0303_181,181.0,100 - 294
11,47844108.0,55199.20168866628,loc_0239_169,169.0,100 - 294
15,47173428.0,76758.64730026778,loc_0377_210,210.0,100 - 294
16,43647984.0,35335.68919351258,loc_0393_107,107.0,100 - 294
18,46242576.0,48591.37427149217,loc_0338_157,157.0,100 - 294
19,44186472.0,34823.44150369916,loc_0311_111,111.0,100 - 294
22,48576672.0,92290.26731809897,loc_0313_263,263.0,100 - 294
26,48204396.0,83579.17978759827,loc_0308_277,277.0,100 - 294
27,46631376.0,51316.566496653,loc_0359_165,165.0,100 - 294
29,45935424.0,45994.13111444298,loc_0396_145,145.0,100 - 294
31,44628084.0,48419.25194212379,loc_0212_141,141.0,100 - 294
32,42608592.0,34689.632203588146,loc_0340_106,106.0,100 - 294
33,44276220.0,44794.17467165407,loc_0360_115,115.0,100 - 294
34,46496268.0,63639.67070336536,loc_0372_200,200.0,100 - 294
35,42155640.0,34883.77127820693,loc_0368_109,109.0,100 - 294
36,47008836.0,68064.51295382639,loc_0363_216,216.0,100 - 294
37,46131768.0,57088.54617341594,loc_0203_158,158.0,100 - 294
41,47568060.0,68277.25040555088,loc_0319_204,204.0,100 - 294
43,47103120.0,61148.83714551802,loc_0366_176,176.0,100 - 294
44,48092292.0,86008.88951238999,loc_0225_271,271.0,100 - 294
54,43798320.0,37552.34034229362,loc_0254_121,121.0,100 - 294
55,46368612.0,69521.86896262915,loc_0374_220,220.0,100 - 294
67,44891820.0,50040.07412295138,loc_0334_144,144.0,100 - 294
76,47916360.0,87068.51566368692,loc_0314_279,279.0,100 - 294
78,48521592.0,98202.18117975153,loc_0397_287,287.0,100 - 294
80,44162496.0,45431.22029236622,loc_0232_155,155.0,100 - 294
82,48436056.0,92203.33222671485,loc_0272_268,268.0,100 - 294
87,46561068.0,66821.3778706295,loc_0250_200,200.0,100 - 294
88,47729412.0,70597.87842716715,loc_0362_235,235.0,100 - 294
90,48216708.0,77233.10953632033,loc_0245_224,224.0,100 - 294
91,46364076.0,53600.08009939304,loc_0285_151,151.0,100 - 294
92,44272656.0,49188.52764222329,loc_0400_137,137.0,100 - 294
96,45648360.0,50664.33871576472,loc_0336_168,168.0,100 - 294
97,45245952.0,39790.63525487496,loc_0295_120,120.0,100 - 294
100,46753524.0,61820.82087225373,loc_0335_197,197.0,100 - 294
102,49066236.0,84398.7552175129,loc_0247_259,259.0,100 - 294
107,44097696.0,39743.4415716716,loc_0294_120,120.0,100 - 294
109,47648412.0,81350.62533926405,loc_0390_264,264.0,100 - 294
111,46789812.0,55513.970117475415,loc_0248_157,157.0,100 - 294
113,42949116.0,36243.99608727463,loc_0337_110,110.0,100 - 294
115,48666420.0,68492.27154697322,loc_0209_208,208.0,100 - 294
116,46991664.0,62544.18204740864,loc_0267_189,189.0,100 - 294
120,47653920.0,68757.15095049219,loc_0270_208,208.0,100 - 294
124,43574112.0,33114.45089859427,loc_0238_108,108.0,100 - 294
125,47084976.0,64635.127180511896,loc_0266_200,200.0,100 - 294
126,47958480.0,78673.50215152738,loc_0324_237,237.0,100 - 294
128,48303540.0,78925.14679432503,loc_0278_263,263.0,100 - 294
131,47701548.0,68470.10452263252,loc_0301_225,225.0,100 - 294
133,48228696.0,85065.13817503379,loc_0350_257,257.0,100 - 294
137,47943576.0,66766.05121279573,loc_0246_200,200.0,100 - 294
139,45996336.0,51209.77251121588,loc_0264_161,161.0,100 - 294
140,46357920.0,47923.98324788737,loc_0263_150,150.0,100 - 294
144,44413272.0,50068.165578151005,loc_0342_148,148.0,100 - 294
146,46953432.0,50307.85347692988,loc_0398_153,153.0,100 - 294
147,47329596.0,68265.77656220166,loc_0382_219,219.0,100 - 294
148,45068724.0,53750.782806016265,loc_0391_150,150.0,100 - 294
150,48353112.0,72117.4504816426,loc_0349_204,204.0,100 - 294
151,46719180.0,53807.363924099496,loc_0364_174,174.0,100 - 294
154,47415132.0,54447.383664438246,loc_0370_173,173.0,100 - 294
156,45034380.0,42917.22083598205,loc_0399_133,133.0,100 - 294
157,43668396.0,35548.15543635489,loc_0312_113,113.0,100 - 294
159,46120752.0,51584.66750879132,loc_0379_151,151.0,100 - 294
165,45937044.0,43120.69333977503,loc_0310_139,139.0,100 - 294
171,44653032.0,46075.47990181582,loc_0373_134,134.0,100 - 294
175,48653136.0,95846.85576419665,loc_0316_290,290.0,100 - 294
176,45541116.0,52329.18671931078,loc_0365_151,151.0,100 - 294
177,47745612.0,79471.60322129185,loc_0343_234,234.0,100 - 294
179,48640500.0,94789.72121042092,loc_0381_287,287.0,100 - 294
180,43972956.0,36564.09348638233,loc_0383_117,117.0,100 - 294
184,48490164.0,83585.86848966357,loc_0218_252,252.0,100 - 294
186,47684376.0,69174.188633983,loc_0284_196,196.0,100 - 294
189,48371256.0,93475.06563213238,loc_0228_293,293.0,100 - 294
190,42496164.0,34271.180032114746,loc_0341_108,108.0,100 - 294
191,46070856.0,45336.03483629869,loc_0204_152,152.0,100 - 294
192,47225592.0,63000.17618754477,loc_0210_218,218.0,100 - 294
193,48519648.0,89788.40497908731,loc_0231_274,274.0,100 - 294
201,47292012.0,71205.4973275776,loc_0354_202,202.0,100 - 294
203,47192868.0,62609.09873431932,loc_0348_177,177.0,100 - 294
204,47913768.0,92076.9348036102,loc_0329_278,278.0,100 - 294
205,46755792.0,55748.4028764313,loc_0394_159,159.0,100 - 294
208,48091320.0,74171.3996282921,loc_0395_241,241.0,100 - 294
215,46837764.0,67259.32803311407,loc_0386_206,206.0,100 - 294
216,47516220.0,54945.6972703071,loc_0276_175,175.0,100 - 294
218,45649332.0,47058.964211994986,loc_0307_159,159.0,100 - 294
220,47646792.0,54981.76962929288,loc_0275_164,164.0,100 - 294
222,42265152.0,40302.70073611614,loc_0253_121,121.0,100 - 294
224,46539684.0,52952.52078389024,loc_0208_173,173.0,100 - 294
225,48172644.0,82539.74082433581,loc_0367_253,253.0,100 - 294
226,48684564.0,85267.62261595031,loc_0297_266,266.0,100 - 294
228,47313072.0,96084.86007068738,loc_0234_293,293.0,100 - 294
229,46610964.0,58612.466157258415,loc_0201_176,176.0,100 - 294
230,45060300.0,55364.41287541569,loc_0288_136,136.0,100 - 294
232,43895196.0,36846.66978859829,loc_0280_115,115.0,100 - 294
233,43110792.0,33631.96251995601,loc_0332_104,104.0,100 - 294
234,44793324.0,44323.94852433583,loc_0353_125,125.0,100 - 294
235,47360700.0,96163.9320730599,loc_0339_270,270.0,100 - 294
236,46658592.0,91510.93562096864,loc_0328_239,239.0,100 - 294
240,47066184.0,62095.27177034593,loc_0293_180,180.0,100 - 294
