,inundation,breach_area
3,4.278096,0.001062113920938987
16,2.393064,2.2024607539195345e-05
32,3.488832,0.0007490033992539944
52,3.846528,0.0003817462849785239
58,4.704804,0.00077538001733064
82,2.330208,0.00033661486212424146
98,2.16918,0.00041410102463816244
102,0.925992,8.606630013118858e-05
104,3.145392,0.0005597732344403233
106,4.371084,0.0006413913836421895
108,0.905904,0.00013742864469477856
109,4.6332,0.0009647845525351712
118,6.226956,0.0012785319917900683
123,6.61446,0.001419535587931949
125,1.745064,0.00023818097882316342
126,4.50198,0.0010063472674877612
139,2.487996,0.00030428241989100625
143,0.957744,0.0001248736249443167
146,1.475172,0.00024128283569093857
156,2.421252,0.00021427206787380252
157,5.839452,0.0011749204572683095
166,5.02038,0.0006832966443752711
167,3.441528,0.0003950773345076925
170,4.7871,0.0007393764353726178
174,4.13586,0.0005432442713408074
179,3.261708,0.00025046410158561133
184,4.081752,0.000585756888491217
185,4.351644,0.0006997912492995761
195,3.54942,0.000775826246313582
207,4.293,0.0009428246326476526
209,3.932388,0.0008953834450261462
210,1.58436,0.0003031674371916687
213,3.83454,0.000430166944784607
214,2.319516,0.00031462662802836226
223,1.053,0.00014698308002657296
225,3.312252,0.0006309592972239549
226,5.268564,0.0008258321090022783
244,3.309336,0.0002902258648495188
246,2.21778,0.0004005143046391659
258,5.47722,0.0010559981514195887
259,2.75724,0.0004681848255890621
261,3.626208,0.0006632114849715402
265,4.18122,0.0002696630947190064
275,3.565296,0.00023924837446753666
278,5.2083,0.0013097817152188693
288,3.384828,0.0005848638451374183
289,3.90096,0.0007445033430786641
291,3.428244,0.0006331023787257314
293,3.919428,0.0003653485639524295
206,4.466664,0.0006184388537318184
286,2.02014,0.0005391081908928403
