,inundation,breach_area
2,41.032008,0.030330254124932503
3,39.192984,0.023046346858168382
7,38.93994,0.022257784420131727
20,41.427612,0.02370090947776937
28,42.197436,0.0246333739616858
30,40.506804,0.024639015579726607
46,42.35328,0.02734237655459842
58,39.995532,0.021693617931101618
69,37.926468,0.01932511620214376
72,41.953464,0.02929864771690966
75,35.857728,0.01813526944841773
89,38.215152,0.02274001140910521
104,37.887912,0.01776955841683274
119,40.834692,0.030958221125234837
122,43.264044,0.03552127620186597
129,43.001604,0.03242523741088628
132,38.413116,0.01691457842567203
134,41.461632,0.02903232364011503
135,38.681712,0.021759777253610637
142,37.674396,0.017768956374777357
145,39.115224,0.02217782612011605
149,39.145032,0.018961961703327
155,38.230056,0.01847041165713832
163,39.60414,0.025715569442177368
169,42.622848,0.03099056878238818
173,39.118464,0.019483863787037183
178,45.174672,0.036204343842392975
183,43.246872,0.030934382936956356
187,36.326232,0.019728367220792964
200,42.560316,0.031512827740413536
207,35.52336,0.014473484988334761
219,41.556564,0.023958471882861546
221,40.22784,0.02058772621413728
227,35.747568,0.01852314831039725
231,38.516148,0.018972173307387156
237,42.621552,0.03342359308878293
255,40.421592,0.02188722726646063
287,40.86612,0.025292289730111543
288,39.765492,0.02221634427819692
305,40.481208,0.02672430290397915
308,39.065328,0.018957097707591287
