,wet_cell_count,diff_topo,diff_no_breach,num_breaches,mean_depth,mean_distance,mean_breach_area,total_breach_area,inundation_per_breach (m**2)
d_0209_6,837148.0,128953.0,28737.0,6.0,-1.1107322579201977,329.7651316105655,366.28076921715456,2197.6846153029273,1551798.0
d_0074_6,836078.0,127883.0,27667.0,6.0,-1.1451335283127986,329.7651316105655,377.6251086757413,2265.7506520544475,1494018.0
d_0212_6,834217.0,126022.0,25806.0,6.0,-1.026675601611603,329.7651316105655,338.56181488680676,2031.3708893208404,1393524.0
d_0105_6,836924.0,128729.0,28513.0,6.0,-0.9947819522776767,329.7651316105655,328.0444014166634,1968.2664084999803,1539702.0
d_0223_6,837455.0,129260.0,29044.0,6.0,-1.3511013222826538,329.7651316105655,445.5461053617484,2673.2766321704903,1568376.0
d_0076_6,837016.0,128821.0,28605.0,6.0,-0.9437527532889846,329.7651316105655,311.21675089617554,1867.3005053770532,1544670.0
d_0225_6,837646.0,129451.0,29235.0,6.0,-1.1102991889320402,329.7651316105655,366.13795816527835,2196.82774899167,1578690.0
d_0323_6,834143.0,125948.0,25732.0,6.0,-0.6344726642667041,329.7651316105655,209.22696163521582,1255.3617698112948,1389528.0
d_0431_6,838482.0,130287.0,30071.0,6.0,-1.5809655314523,329.7651316105655,521.3473065511353,3128.0838393068116,1623834.0
d_0219_6,838468.0,130273.0,30057.0,6.0,-1.1347140125324318,329.7651316105655,374.18911568311023,2245.1346940986614,1623078.0
d_0141_6,839123.0,130928.0,30712.0,6.0,-1.5144960259549,329.7651316105655,499.42798132269604,2996.5678879361762,1658448.0
d_0087_6,835992.0,127797.0,27581.0,6.0,-1.0146106230980647,329.7651316105655,334.5832056594112,2007.4992339564672,1489374.0
d_0027_6,836130.0,127935.0,27719.0,6.0,-0.9151524826134817,329.7651316105655,301.78537887277054,1810.7122732366233,1496826.0
d_0359_6,837398.0,129203.0,28987.0,6.0,-1.121275162136749,329.7651316105655,369.7574514136832,2218.5447084820994,1565298.0
d_0120_6,833410.0,125215.0,24999.0,6.0,-0.8763737672215854,329.7651316105655,288.9975106878732,1733.9850641272392,1349946.0
d_0061_6,838004.0,129809.0,29593.0,6.0,-1.0565589731105043,329.7651316105655,348.4163088221094,2090.4978529326563,1598022.0
d_0198_6,835041.0,126846.0,26630.0,6.0,-1.0630831609577813,329.7651316105655,350.56775848621874,2103.4065509173124,1438020.0
d_0139_6,834866.0,126671.0,26455.0,6.0,-1.037274513688782,329.7651316105655,342.0569665228665,2052.341799137199,1428570.0
d_0047_6,836802.0,128607.0,28391.0,6.0,-0.8076518110863451,329.7651316105655,266.3354057784002,1598.012434670401,1533114.0
d_0398_6,836457.0,128262.0,28046.0,6.0,-1.099410526523543,329.7651316105655,362.54725697307725,2175.2835418384634,1514484.0
d_0375_6,837800.0,129605.0,29389.0,6.0,-1.128631569590993,329.7651316105655,372.1833380860129,2233.100028516077,1587006.0
d_0132_6,838164.0,129969.0,29753.0,6.0,-1.2271740348576468,329.7651316105655,404.6792071139006,2428.0752426834033,1606662.0
d_0079_6,837302.0,129107.0,28891.0,6.0,-1.1231721430157164,329.7651316105655,370.3830095628986,2222.2980573773916,1560114.0
d_0054_6,834987.0,126792.0,26576.0,6.0,-1.051028444962604,329.7651316105655,346.5925334795411,2079.5552008772465,1435104.0
d_0245_6,836967.0,128772.0,28556.0,6.0,-0.9908296884076129,329.7651316105655,326.74108260139207,1960.4464956083525,1542024.0
d_0149_6,837996.0,129801.0,29585.0,6.0,-1.003596950535168,329.7651316105655,330.9512804771919,1985.7076828631516,1597590.0
d_0266_6,836115.0,127920.0,27704.0,6.0,-0.9305878483574382,329.7651316105655,306.8754242887836,1841.2525457327017,1496016.0
d_0073_6,836255.0,128060.0,27844.0,6.0,-0.7807458262419277,329.7651316105655,257.462750145069,1544.7765008704139,1503576.0
d_0235_6,837020.0,128825.0,28609.0,6.0,-1.0720159865438421,329.7651316105655,353.51349289126034,2121.080957347562,1544886.0
d_0342_6,835371.0,127176.0,26960.0,6.0,-0.9964119987128982,329.7651316105655,328.5819338939055,1971.4916033634331,1455840.0
d_0153_6,838808.0,130613.0,30397.0,6.0,-1.3742846728725737,329.7651316105655,453.1911660202072,2719.1469961212433,1641438.0
d_0312_6,839114.0,130919.0,30703.0,6.0,-1.2004118901193594,329.7651316105655,395.8539849320983,2375.12390959259,1657962.0
d_0184_6,836785.0,128590.0,28374.0,6.0,-0.8908807475773041,329.7651316105655,293.78140697414864,1762.6884418448917,1532196.0
d_0130_6,834247.0,126052.0,25836.0,6.0,-0.9249640435539236,329.7651316105655,305.02088955760047,1830.125337345603,1395144.0
d_0055_6,836129.0,127934.0,27718.0,6.0,-1.1406742755400205,329.7651316105655,376.15460259824135,2256.927615589448,1496772.0
d_0211_6,838669.0,130474.0,30258.0,6.0,-1.2459997643508436,329.7651316105655,410.88727627788955,2465.323657667337,1633932.0
d_0282_6,833239.0,125044.0,24828.0,6.0,-0.7013347794481443,329.7651316105655,231.2757558477842,1387.6545350867052,1340712.0
d_0048_6,833875.0,125680.0,25464.0,6.0,-0.7995996260158948,329.7651316105655,263.6800759088905,1582.080455453343,1375056.0
d_0254_6,831597.0,123402.0,23186.0,6.0,-0.7382175035989221,329.7651316105655,243.43839223152168,1460.63035338913,1252044.0
d_0384_6,835610.0,127415.0,27199.0,6.0,-0.9423778149452903,329.7651316105655,310.7633441723108,1864.5800650338647,1468746.0
d_0274_6,838515.0,130320.0,30104.0,6.0,-1.0308193795948608,329.7651316105655,339.92828837882075,2039.5697302729245,1625616.0
d_0028_6,838410.0,130215.0,29999.0,6.0,-1.1494852779244749,329.7651316105655,379.0601639591719,2274.3609837550316,1619946.0
d_0369_6,833022.0,124827.0,24611.0,6.0,-0.9215541281412728,329.7651316105655,303.8964183527668,1823.3785101166006,1328994.0
d_0400_6,836302.0,128107.0,27891.0,6.0,-0.9533609177518302,329.7651316105655,314.38518851480177,1886.3111310888107,1506114.0
d_0341_6,839324.0,131129.0,30913.0,6.0,-1.1250059594951292,329.7651316105655,370.9877382955818,2225.926429773491,1669302.0
d_0428_6,838433.0,130238.0,30022.0,6.0,-1.1377618746734088,329.7651316105655,375.1941943431604,2251.1651660589623,1621188.0
d_0301_6,833025.0,124830.0,24614.0,6.0,-0.7536687719641275,329.7651316105655,248.53368177752378,1491.2020906651428,1329156.0
d_0126_6,831234.0,123039.0,22823.0,6.0,-0.461764064390159,329.7651316105655,152.27368746665041,913.6421247999025,1232442.0
d_0163_6,834973.0,126778.0,26562.0,6.0,-1.0370509883791732,329.7651316105655,341.9832556697251,2051.8995340183506,1434348.0
d_0325_6,835791.0,127596.0,27380.0,6.0,-0.9004259105874407,329.7651316105655,296.92906891043066,1781.5744134625838,1478520.0
d_0051_6,837627.0,129432.0,29216.0,6.0,-0.9318531864045941,329.7651316105655,307.2926886564358,1843.756131938615,1577664.0
d_0237_6,836802.0,128607.0,28391.0,6.0,-1.033079233468594,329.7651316105655,340.67350938891303,2044.041056333478,1533114.0
d_0026_6,837667.0,129472.0,29256.0,6.0,-1.1532892169032705,329.7651316105655,380.31457039715303,2281.887422382918,1579824.0
d_0426_6,835863.0,127668.0,27452.0,6.0,-0.9710864857808321,329.7651316105655,320.2304627887577,1921.382776732546,1482408.0
d_0068_6,833465.0,125270.0,25054.0,6.0,-0.8296042540452467,329.7651316105655,273.5745560199158,1641.4473361194948,1352916.0
d_0322_6,839385.0,131190.0,30974.0,6.0,-1.4073049997747689,329.7651316105655,464.0801184669335,2784.480710801601,1672596.0
d_0173_6,837274.0,129079.0,28863.0,6.0,-0.9712760626631977,329.7651316105655,320.29297863432123,1921.7578718059274,1558602.0
d_0101_6,837532.0,129337.0,29121.0,6.0,-1.0912759304566009,329.7651316105655,359.8647508304633,2159.1885049827797,1572534.0
d_0345_6,837360.0,129165.0,28949.0,6.0,-1.1182969353865204,329.7651316105655,368.775336077428,2212.652016464568,1563246.0
d_0215_6,837127.0,128932.0,28716.0,6.0,-0.9271736804049807,329.7651316105655,305.74955074460087,1834.4973044676053,1550664.0
d_0249_6,838182.0,129987.0,29771.0,6.0,-1.0610417240689638,329.7651316105655,349.8945637819032,2099.367382691419,1607634.0
d_0360_6,837833.0,129638.0,29422.0,6.0,-1.2024564732491312,329.7651316105655,396.5282171569762,2379.1693029418575,1588788.0
d_0278_6,835853.0,127658.0,27442.0,6.0,-0.8950324067005982,329.7651316105655,295.150479391344,1770.902876348064,1481868.0
d_0391_6,836533.0,128338.0,28122.0,6.0,-0.7432853133614223,329.7651316105655,245.10957918482987,1470.6574751089793,1518588.0
d_0414_6,835138.0,126943.0,26727.0,6.0,-0.7366023727610208,329.7651316105655,242.90577839819287,1457.4346703891572,1443258.0
d_0244_6,834043.0,125848.0,25632.0,6.0,-0.496507289211578,329.7651316105655,163.73079157246113,982.3847494347667,1384128.0
d_0171_6,836729.0,128534.0,28318.0,6.0,-1.1388566246816367,329.7651316105655,375.5552047237043,2253.331228342226,1529172.0
d_0058_6,838918.0,130723.0,30507.0,6.0,-1.2293853413209372,329.7651316105655,405.4084188807989,2432.4505132847935,1647378.0
d_0279_6,835462.0,127267.0,27051.0,6.0,-0.8942928136270654,329.7651316105655,294.90658738411213,1769.439524304673,1460754.0
d_0166_6,833525.0,125330.0,25114.0,6.0,-0.8128982485792173,329.7651316105655,268.0654979287238,1608.392987572343,1356156.0
