,inundation,breach_area,simulation_name,num_breaches
0,48.25332,0.06828893920696298,loc_0279_218,218.0
1,48.339504,0.08446355013159193,loc_0345_263,263.0
2,41.032008,0.030330254124932503,loc_0277_81,81.0
3,39.192984,0.023046346858168382,loc_0257_74,74.0
4,31.536216,0.013925840854363256,loc_0320_43,43.0
5,45.945144,0.060233690953609774,loc_0387_190,190.0
6,44.709732,0.040787932487862624,loc_0207_140,140.0
7,38.93994,0.022257784420131727,loc_0235_66,66.0
8,46.56366,0.07846819121680905,loc_0296_230,230.0
9,24.85242,0.009100520864003475,loc_0055_0025,25.0
10,46.669932,0.06011899836819025,loc_0303_181,181.0
11,47.844108,0.05519920168866628,loc_0239_169,169.0
12,26.348004,0.007444609260603526,loc_0050_0022,22.0
13,36.431856,0.01566678135248485,loc_0028_0047,47.0
14,11.052936,0.0029995112964309287,loc_0080_0007,7.0
15,47.173428,0.07675864730026778,loc_0377_210,210.0
16,43.647984,0.035335689193512584,loc_0393_107,107.0
17,28.703808,0.010491926304205854,loc_0001_0031,31.0
18,46.242576,0.04859137427149217,loc_0338_157,157.0
19,44.186472,0.03482344150369916,loc_0311_111,111.0
20,41.427612,0.02370090947776937,loc_0230_73,73.0
22,48.576672,0.09229026731809896,loc_0313_263,263.0
23,15.211152,0.0024267517863218167,loc_0110_0007,7.0
24,19.574136,0.004378908610726642,loc_0037_0011,11.0
25,25.727544,0.008131699291568137,loc_0011_0026,26.0
26,48.204396,0.08357917978759827,loc_0308_277,277.0
27,46.631376,0.051316566496653004,loc_0359_165,165.0
28,42.197436,0.0246333739616858,loc_0255_82,82.0
29,45.935424,0.045994131114442977,loc_0396_145,145.0
30,40.506804,0.024639015579726607,loc_0226_87,87.0
31,44.628084,0.048419251942123785,loc_0212_141,141.0
32,42.608592,0.034689632203588144,loc_0340_106,106.0
33,44.27622,0.04479417467165407,loc_0360_115,115.0
34,46.496268,0.06363967070336536,loc_0372_200,200.0
35,42.15564,0.03488377127820693,loc_0368_109,109.0
36,47.008836,0.06806451295382639,loc_0363_216,216.0
37,46.131768,0.05708854617341594,loc_0203_158,158.0
38,22.300272,0.008422752766319583,loc_0113_0023,23.0
39,21.721608,0.00535587755335758,loc_0074_0023,23.0
41,47.56806,0.06827725040555088,loc_0319_204,204.0
42,27.74574,0.008586140298847644,loc_0082_0032,32.0
43,47.10312,0.06114883714551802,loc_0366_176,176.0
44,48.092292,0.08600888951238998,loc_0225_271,271.0
45,26.994384,0.00801769540220384,loc_0057_0026,26.0
46,42.35328,0.02734237655459842,loc_0202_89,89.0
47,34.934652,0.014419543945441692,loc_0022_0044,44.0
49,34.828704,0.01424243955730481,loc_0032_0039,39.0
50,13.851,0.003390457793299685,loc_0038_0013,13.0
51,24.359616,0.006646222251659312,loc_0111_0021,21.0
52,28.762776,0.008519034248116852,loc_0107_0022,22.0
53,31.229064,0.009319409786542259,loc_0083_0038,38.0
54,43.79832,0.03755234034229362,loc_0254_121,121.0
55,46.368612,0.06952186896262914,loc_0374_220,220.0
57,35.825328,0.013844613529151525,loc_0046_0044,44.0
58,39.995532,0.021693617931101618,loc_0326_68,68.0
60,32.233464,0.01102796560071181,loc_0100_0036,36.0
61,35.874576,0.012794821885418773,loc_0034_0048,48.0
62,27.10098,0.008309574215070023,loc_0104_0028,28.0
63,26.175636,0.008837637733299644,loc_0273_25,25.0
64,33.479568,0.01589961824008521,loc_0052_0045,45.0
65,28.717416,0.010194713863747174,loc_0003_0026,26.0
66,31.762044,0.01383430412840851,loc_0300_41,41.0
67,44.89182,0.05004007412295138,loc_0334_144,144.0
68,24.371604,0.006042343184527421,loc_0315_19,19.0
69,37.926468,0.01932511620214376,loc_0298_64,64.0
70,30.625452,0.013889990308169085,loc_0047_0035,35.0
71,35.349372,0.01600764346544078,loc_0017_0046,46.0
72,41.953464,0.02929864771690966,loc_0233_86,86.0
73,36.614916,0.016654119008654125,loc_0092_0048,48.0
74,32.116824,0.011570256518776394,loc_0219_38,38.0
75,35.857728,0.01813526944841773,loc_0344_52,52.0
76,47.91636,0.08706851566368692,loc_0314_279,279.0
77,33.978204,0.010772222369424088,loc_0061_0033,33.0
78,48.521592,0.09820218117975152,loc_0397_287,287.0
79,32.30118,0.013160985213473265,loc_0076_0042,42.0
80,44.162496,0.045431220292366216,loc_0232_155,155.0
81,21.796452,0.005214582258105468,loc_0020_0016,16.0
82,48.436056,0.09220333222671484,loc_0272_268,268.0
84,34.197228,0.015145736760007345,loc_0109_0043,43.0
85,24.394932,0.005051446500021375,loc_0305_17,17.0
86,25.70616,0.008504957034976652,loc_0108_0027,27.0
87,46.561068,0.0668213778706295,loc_0250_200,200.0
88,47.729412,0.07059787842716715,loc_0362_235,235.0
89,38.215152,0.02274001140910521,loc_0361_74,74.0
90,48.216708,0.07723310953632033,loc_0245_224,224.0
91,46.364076,0.05360008009939304,loc_0285_151,151.0
92,44.272656,0.04918852764222329,loc_0400_137,137.0
93,30.626424,0.00955003467700208,loc_0021_0029,29.0
94,32.99454,0.010997304450323143,loc_0304_36,36.0
95,15.792084,0.0028415668566134046,loc_0101_0010,10.0
96,45.64836,0.05066433871576472,loc_0336_168,168.0
97,45.245952,0.03979063525487496,loc_0295_120,120.0
98,14.546304,0.0029032866426779436,loc_0066_0011,11.0
99,20.144376,0.004923525460607295,loc_0044_0015,15.0
100,46.753524,0.06182082087225373,loc_0335_197,197.0
102,49.066236,0.08439875521751289,loc_0247_259,259.0
103,24.572808,0.0072542923824774645,loc_0090_0017,17.0
104,37.887912,0.01776955841683274,loc_0323_60,60.0
106,22.977756,0.007194400742805399,loc_0012_0019,19.0
107,44.097696,0.0397434415716716,loc_0294_120,120.0
108,36.497952,0.015440974960246568,loc_0019_0044,44.0
109,47.648412,0.08135062533926404,loc_0390_264,264.0
110,29.284416,0.010626251895282792,loc_0018_0029,29.0
111,46.789812,0.055513970117475414,loc_0248_157,157.0
112,35.437824,0.01369934147599213,loc_0006_0048,48.0
113,42.949116,0.03624399608727463,loc_0337_110,110.0
114,31.8735,0.010021242479572597,loc_0283_36,36.0
115,48.66642,0.06849227154697322,loc_0209_208,208.0
116,46.991664,0.06254418204740864,loc_0267_189,189.0
117,32.312844,0.014140662884034724,loc_0091_0046,46.0
119,40.834692,0.030958221125234837,loc_0216_94,94.0
120,47.65392,0.06875715095049219,loc_0270_208,208.0
121,27.623592,0.008286900343071602,loc_0077_0026,26.0
122,43.264044,0.03552127620186597,loc_0309_91,91.0
124,43.574112,0.033114450898594265,loc_0238_108,108.0
125,47.084976,0.0646351271805119,loc_0266_200,200.0
126,47.95848,0.07867350215152738,loc_0324_237,237.0
127,31.590324,0.011418804606793651,loc_0352_40,40.0
128,48.30354,0.07892514679432504,loc_0278_263,263.0
129,43.001604,0.03242523741088628,loc_0236_95,95.0
