,wet_cell_count,diff_topo,diff_no_breach,num_breaches,mean_depth,mean_distance,mean_breach_area,total_breach_area,inundation_per_breach (m**2)
w_0002_6,826536.0,118341.0,18125.0,6.0,-2.0,157.65949669230562,315.31899338461125,1891.9139603076674,978750.0
w_0484_6,826765.0,118570.0,18354.0,6.0,-2.0,167.3257214873863,334.6514429747726,2007.9086578486354,991116.0
w_0419_6,822165.0,113970.0,13754.0,6.0,-2.0,135.32688135045393,270.65376270090786,1623.922576205447,742716.0
w_0401_6,836960.0,128765.0,28549.0,6.0,-2.0,313.9838724710891,627.9677449421782,3767.806469653069,1541646.0
w_0029_6,822163.0,113968.0,13752.0,6.0,-2.0,138.16009997989661,276.32019995979323,1657.9211997587595,742608.0
w_0083_6,843297.0,135102.0,34886.0,6.0,-2.0,392.81542020662545,785.6308404132509,4713.785042479505,1883844.0
w_0071_6,829952.0,121757.0,21541.0,6.0,-2.0,196.9908311698135,393.981662339627,2363.889974037762,1163214.0
w_0315_6,828719.0,120524.0,20308.0,6.0,-2.0,183.99167107163282,367.98334214326565,2207.900052859594,1096632.0
w_0020_6,826249.0,118054.0,17838.0,6.0,-2.0,164.82589047355302,329.65178094710603,1977.910685682636,963252.0
w_0255_6,827437.0,119242.0,19026.0,6.0,-2.0,184.82483417801146,369.6496683560229,2217.8980101361376,1027404.0
w_0473_6,838825.0,130630.0,30414.0,6.0,-2.0,335.31767822857194,670.6353564571439,4023.812138742863,1642356.0
w_0423_6,823658.0,115463.0,15247.0,6.0,-2.0,145.32691003085657,290.65382006171313,1743.922920370279,823338.0
w_0212_6,827881.0,119686.0,19470.0,6.0,-2.0,178.65813720277,357.31627440554,2143.89764643324,1051380.0
w_0031_6,825349.0,117154.0,16938.0,6.0,-2.0,170.65854363968344,341.3170872793669,2047.9025236762013,914652.0
w_0205_6,847536.0,139341.0,39125.0,6.0,-2.0,437.1468885234058,874.2937770468116,5245.762662280869,2112750.0
w_0253_6,831790.0,123595.0,23379.0,6.0,-2.0,273.82123238828245,547.6424647765649,3285.8547886593897,1262466.0
w_0493_6,824598.0,116403.0,16187.0,6.0,-1.0,176.6588643605601,176.6588643605601,1059.9531861633607,874098.0
w_0246_6,841876.0,133681.0,33465.0,6.0,-2.0,350.9837934967111,701.9675869934222,4211.805521960533,1807110.0
w_0235_6,830751.0,122556.0,22340.0,6.0,-1.0,298.4859326334983,298.4859326334983,1790.9155958009896,1206360.0
w_0076_6,833974.0,125779.0,25563.0,6.0,-2.0,252.98833744085064,505.9766748817013,3035.860049290208,1380402.0
w_0204_6,823659.0,115464.0,15248.0,6.0,-2.0,146.1601350367808,292.3202700735616,1753.9216204413694,823392.0
w_0312_6,823374.0,115179.0,14963.0,6.0,-2.0,129.1610327156186,258.3220654312372,1549.9323925874232,808002.0
w_0530_6,830050.0,121855.0,21639.0,6.0,-2.0,220.15613783190383,440.31227566380767,2641.873653982846,1168506.0
w_0019_6,840653.0,132458.0,32242.0,6.0,-2.0,326.15081533246513,652.3016306649303,3913.809783989582,1741068.0
w_0233_6,839119.0,130924.0,30708.0,6.0,-2.0,296.4855345331729,592.9710690663458,3557.8264143980746,1658232.0
w_0483_6,837278.0,129083.0,28867.0,6.0,-2.0,282.4858975701538,564.9717951403076,3389.830770841845,1558818.0
w_0507_6,821444.0,113249.0,13033.0,6.0,-2.0,126.16066242157245,252.3213248431449,1513.9279490588694,703782.0
w_0314_6,850485.0,142290.0,42074.0,6.0,-2.0,480.14383480741486,960.2876696148297,5761.726017688979,2271996.0
w_0012_6,824227.0,116032.0,15816.0,6.0,-2.0,156.99295710705923,313.98591421411845,1883.9154852847107,854064.0
w_0303_6,837289.0,129094.0,28878.0,6.0,-2.0,307.984497845062,615.968995690124,3695.813974140744,1559412.0
w_0198_6,828857.0,120662.0,20446.0,6.0,-2.0,195.15768641714143,390.31537283428287,2341.892237005697,1104084.0
w_0399_6,844492.0,136297.0,36081.0,6.0,-2.0,402.48072960915374,804.9614592183075,4829.768755309845,1948374.0
w_0236_6,825178.0,116983.0,16767.0,6.0,-2.0,159.82626866640047,319.65253733280093,1917.9152239968057,905418.0
w_0140_6,838398.0,130203.0,29987.0,6.0,-1.0,378.3164238463292,378.3164238463292,2269.8985430779753,1619298.0
w_0093_6,823335.0,115140.0,14924.0,6.0,-2.0,133.99388568447498,267.98777136894995,1607.9266282136996,805896.0
w_0375_6,832593.0,124398.0,24182.0,6.0,-2.0,229.98946704479854,459.9789340895971,2759.8736045375827,1305828.0
w_0446_6,845786.0,137591.0,37375.0,6.0,-2.0,407.31517363885246,814.6303472777049,4887.7820836662295,2018250.0
w_0119_6,826041.0,117846.0,17630.0,6.0,-2.0,171.15831963661438,342.31663927322876,2053.8998356393727,952020.0
w_0430_6,827940.0,119745.0,19529.0,6.0,-2.0,187.65755912270865,375.3151182454173,2251.8907094725037,1054566.0
w_0520_6,835553.0,127358.0,27142.0,6.0,-1.0,344.3167750018387,344.3167750018387,2065.900650011032,1465668.0
w_0127_6,850106.0,141911.0,41695.0,6.0,-2.0,494.31030036416763,988.6206007283353,5931.723604370011,2251530.0
w_0436_6,842091.0,133896.0,33680.0,6.0,-2.0,385.8144255248749,771.6288510497498,4629.7731062984985,1818720.0
w_0038_6,822887.0,114692.0,14476.0,6.0,-2.0,129.66071982148875,259.3214396429775,1555.928637857865,781704.0
w_0046_6,839254.0,131059.0,30843.0,6.0,-2.0,346.48286273515515,692.9657254703103,4157.794352821862,1665522.0
w_0161_6,821826.0,113631.0,13415.0,6.0,-2.0,123.16083703554209,246.32167407108417,1477.930044426505,724410.0
w_0334_6,837745.0,129550.0,29334.0,6.0,-2.0,325.3179417645908,650.6358835291816,3903.815301175089,1584036.0
w_0178_6,836801.0,128606.0,28390.0,6.0,-2.0,288.98706144593706,577.9741228918741,3467.8447373512445,1533060.0
w_0331_6,839378.0,131183.0,30967.0,6.0,-2.0,325.8189469014547,651.6378938029094,3909.8273628174566,1672218.0
w_0100_6,828885.0,120690.0,20474.0,6.0,-2.0,196.65696158643058,393.31392317286117,2359.883539037167,1105596.0
w_0454_6,842740.0,134545.0,34329.0,6.0,-2.0,395.31531273656896,790.6306254731379,4743.783752838827,1853766.0
w_0306_6,839257.0,131062.0,30846.0,6.0,-2.0,369.8157513051146,739.6315026102292,4437.789015661375,1665684.0
w_0053_6,820624.0,112429.0,12213.0,6.0,-2.0,138.82642019374688,277.65284038749377,1665.9170423249625,659502.0
w_0147_6,843440.0,135245.0,35029.0,6.0,-2.0,386.4829965190363,772.9659930380726,4637.795958228436,1891566.0
w_0156_6,827917.0,119722.0,19506.0,6.0,-2.0,185.99174216603078,371.98348433206155,2231.900905992369,1053324.0
w_0213_6,822770.0,114575.0,14359.0,6.0,-2.0,137.49422970157207,274.98845940314413,1649.9307564188648,775386.0
w_0157_6,824038.0,115843.0,15627.0,6.0,-2.0,144.82676727906173,289.65353455812345,1737.9212073487406,843858.0
w_0491_6,851175.0,142980.0,42764.0,6.0,-2.0,491.97752031246904,983.9550406249381,5903.730243749628,2309256.0
w_0495_6,828096.0,119901.0,19685.0,6.0,-2.0,183.15836033657487,366.31672067314975,2197.9003240388984,1062990.0
w_0499_6,839690.0,131495.0,31279.0,6.0,-1.0,374.9826136348266,374.9826136348266,2249.8956818089596,1689066.0
w_0011_6,827429.0,119234.0,19018.0,6.0,-2.0,184.49135358957142,368.98270717914284,2213.896243074857,1026972.0
w_0209_6,840237.0,132042.0,31826.0,6.0,-2.0,366.9830165922975,733.966033184595,4403.79619910757,1718604.0
w_0354_6,825472.0,117277.0,17061.0,6.0,-2.0,154.99301116814223,309.98602233628446,1859.9161340177068,921294.0
w_0179_6,830895.0,122700.0,22484.0,6.0,-2.0,227.98805845204774,455.9761169040955,2735.8567014245727,1214136.0
w_0378_6,842943.0,134748.0,34532.0,6.0,-2.0,398.98090553868707,797.9618110773741,4787.770866464245,1864728.0
w_0444_6,844921.0,136726.0,36510.0,6.0,-2.0,358.98280994882424,717.9656198976485,4307.793719385891,1971540.0
