,wet_cell_count,diff_topo,diff_no_breach,num_breaches,mean_depth,mean_distance,mean_breach_area,total_breach_area,inundation_per_breach (m**2)
dw_0137_5,831483.0,123288.0,23072.0,5.0,-1.180946454947726,303.58692649480423,358.51990461251495,1792.5995230625747,1495065.5999999999
dw_0288_5,826070.0,117875.0,17659.0,5.0,-1.1289455786049558,261.98774976021565,295.769911740457,1478.849558702285,1144303.2
dw_0115_1,817431.0,109236.0,9020.0,1.0,-0.7894935724154979,522.9735932550982,412.884290417937,412.884290417937,2922480.0
dw_0168_2,821615.0,113420.0,13204.0,2.0,-1.5239102314598045,348.4830992707334,531.0569604694934,1062.113920938987,2139048.0
dw_0173_4,823066.0,114871.0,14655.0,4.0,-1.018281132787517,220.99127816464863,225.03124906565967,900.1249962626387,1187055.0
dw_0279_3,818298.0,110103.0,9887.0,3.0,-1.2385886278970906,165.99382646961556,205.59806576638888,616.7941972991666,1067796.0
dw_0215_5,824157.0,115962.0,15746.0,5.0,-1.1669215385583318,235.78788783754288,275.1459648488049,1375.7298242440245,1020340.7999999999
dw_0228_3,825247.0,117052.0,16836.0,3.0,-1.5433475396475835,306.98674918860996,473.787244064651,1421.361732193953,1818288.0
dw_0135_3,820496.0,112301.0,12085.0,3.0,-0.9403255557151694,232.99070938831076,219.08711828203485,657.2613548461045,1305180.0
dw_0148_3,824681.0,116486.0,16270.0,3.0,-0.7159944884528228,393.9842233289474,282.0905324408924,846.2715973226772,1757160.0
dw_0121_5,829585.0,121390.0,21174.0,5.0,-0.7590712350893654,311.78634459654387,236.66804567689704,1183.3402283844853,1372075.2
dw_0126_1,812070.0,103875.0,3659.0,1.0,-1.4638137564356364,158.99197194633186,232.73463569786935,232.73463569786935,1185516.0
dw_0113_1,810539.0,102344.0,2128.0,1.0,-0.6708930483278079,119.99394108985533,80.50310091864044,80.50310091864044,689472.0
dw_0103_4,820848.0,112653.0,12437.0,4.0,-1.0120018372475175,219.99111053969565,222.6314080442937,890.5256321771748,1007397.0
