,wet_cell_count,diff_topo,diff_no_breach,mean_depth,mean_distance,depth / distance,distance / depth,area (m**2)
w0072,837926.0,129731.0,29515.0,-2.0,353.3175710624833,0.005660629880324591,176.65878553124165,4239.8108527498
w20,824038.0,115843.0,15627.0,-2.0,144.82676727906173,0.013809601895941437,72.41338363953086,1737.9212073487406
w104,823335.0,115140.0,14924.0,-2.0,133.99388568447498,0.01492605419854413,66.99694284223749,1607.9266282136996
w110,829796.0,121601.0,21385.0,-2.0,199.49066274313512,0.010025531884543424,99.74533137156756,2393.8879529176215
w0006,838826.0,130631.0,30415.0,-2.0,334.6507101156019,0.005976380565004984,167.32535505780095,4015.8085213872228
w207,826041.0,117846.0,17630.0,-2.0,171.15831963661438,0.011685087842917557,85.57915981830719,2053.8998356393727
w0049,836960.0,128765.0,28549.0,-2.0,313.9838724710891,0.006369753912071249,156.99193623554456,3767.806469653069
w119,823693.0,115498.0,15282.0,-2.0,133.99395439414516,0.014926046544734181,66.99697719707258,1607.927452729742
w0172,843440.0,135245.0,35029.0,-2.0,386.4829965190363,0.005174871903844519,193.24149825951815,4637.795958228436
w11,827713.0,119518.0,19302.0,-2.0,202.32414228822196,0.009885127782481287,101.16207114411098,2427.8897074586635
w0001,828088.0,119893.0,19677.0,-2.0,206.99001566307757,0.009662301795539,103.49500783153879,2483.880187956931
w0004_1.0,834932.0,126737.0,26521.0,-1.0,410.81497701860013,0.0024341858401981382,410.81497701860013,2464.889862111601
w0207,837099.0,128904.0,28688.0,-2.0,305.81863365098246,0.006539823869210381,152.90931682549123,3669.8236038117893
w27,831079.0,122884.0,22668.0,-2.0,215.49015260210365,0.00928116656770364,107.74507630105182,2585.881831225244
w162,820439.0,112244.0,12028.0,-2.0,119.66122039110172,0.016713852603735643,59.83061019555086,1435.9346446932207
w209,822163.0,113968.0,13752.0,-2.0,138.16009997989661,0.014475959414411366,69.08004998994831,1657.9211997587595
w214,829334.0,121139.0,20923.0,-2.0,206.49031757806884,0.00968568416891436,103.24515878903442,2477.883810936826
w155,828857.0,120662.0,20446.0,-2.0,195.15768641714143,0.01024812312913509,97.57884320857072,2341.892237005697
w215,827940.0,119745.0,19529.0,-2.0,187.65755912270865,0.010657710828969094,93.82877956135432,2251.8907094725037
w50,828090.0,119895.0,19679.0,-2.0,176.65846269316978,0.011321280449913746,88.32923134658489,2119.9015523180374
w201,825521.0,117326.0,17110.0,-2.0,169.1586138000704,0.011823222921203481,84.5793069000352,2029.903365600845
w12,828282.0,120087.0,19871.0,-2.0,169.32567948643475,0.011811557503067494,84.66283974321738,2031.908153837217
w0019,834980.0,126785.0,26569.0,-2.0,245.98799653719735,0.008130478023945236,122.99399826859867,2951.8559584463683
w0141,829636.0,121441.0,21225.0,-2.0,272.1534772675231,0.007348794584880603,136.07673863376155,3265.841727210277
w0183,841671.0,133476.0,33260.0,-2.0,349.9838229639056,0.005714549841368706,174.9919114819528,4199.805875566867
w7,822295.0,114100.0,13884.0,-2.0,128.16026717462688,0.015605460600943248,64.08013358731344,1537.9232060955226
w172,820624.0,112429.0,12213.0,-2.0,138.82642019374688,0.014406479668702754,69.41321009687344,1665.9170423249625
w40,834694.0,126499.0,26283.0,-2.0,176.99175991068532,0.011299961088636287,88.49587995534266,2123.9011189282237
w14,830912.0,122717.0,22501.0,-2.0,225.32279177338864,0.008876154889876553,112.66139588669432,2703.8735012806637
w65,824223.0,116028.0,15812.0,-2.0,159.32615294180223,0.012552866952926107,79.66307647090112,1911.913835301627
w0004,843569.0,135374.0,35158.0,-2.0,405.3143338769318,0.004934441821658527,202.6571669384659,4863.7720065231815
w0034,836208.0,128013.0,27797.0,-2.0,283.98712479781847,0.007042572797706509,141.99356239890923,3407.8454975738214
w0047,839254.0,131059.0,30843.0,-2.0,346.48286273515515,0.0057722912591170825,173.24143136757758,4157.794352821862
w117,824468.0,116273.0,16057.0,-2.0,141.66002399163202,0.014118309058864353,70.83001199581601,1699.9202878995843
w97,823387.0,115192.0,14976.0,-2.0,151.49306829047595,0.013201924170980275,75.74653414523797,1817.9168194857114
w122,825892.0,117697.0,17481.0,-2.0,163.1593301641871,0.012257956673316821,81.57966508209356,1957.9119619702453
w0132,832593.0,124398.0,24182.0,-2.0,229.98946704479854,0.008696050413519283,114.99473352239927,2759.8736045375827
w0138,842847.0,134652.0,34436.0,-2.0,379.64896990366543,0.0052680243028382055,189.82448495183272,4555.787638843985
w0093,836488.0,128293.0,28077.0,-2.0,329.31770768077877,0.00607316264310537,164.65885384038938,3951.812492169345
w0077,841010.0,132815.0,32599.0,-2.0,367.4831379627447,0.005442426586122053,183.74156898137235,4409.797655552937
w106,825797.0,117602.0,17386.0,-2.0,164.65903772521935,0.01214631172166554,82.32951886260967,1975.908452702632
w0170,836951.0,128756.0,28540.0,-2.0,287.3193116030514,0.0069608965329943364,143.6596558015257,3447.831739236617
w35,827288.0,119093.0,18877.0,-2.0,183.49158611202856,0.010899682336273035,91.74579305601428,2201.8990333443426
w0161,837146.0,128951.0,28735.0,-2.0,323.65152688422864,0.006179485755107862,161.82576344211432,3883.818322610744
w0123,837999.0,129804.0,29588.0,-2.0,297.1529799616924,0.006730539940261851,148.5764899808462,3565.8357595403086
w13,826186.0,117991.0,17775.0,-2.0,168.49207657778413,0.011869994367816475,84.24603828889207,2021.9049189334096
w0011_1.0,834457.0,126262.0,26046.0,-1.0,306.6525466676985,0.003261019713896724,306.6525466676985,1839.915280006191
w0042,844684.0,136489.0,36273.0,-2.0,425.4804352439794,0.004700568661525313,212.7402176219897,5105.765222927753
w127,829702.0,121507.0,21291.0,-2.0,201.82380459041303,0.009909633821733056,100.91190229520652,2421.8856550849564
w34,823708.0,115513.0,15297.0,-2.0,134.32674775493805,0.01488906739295694,67.16337387746903,1611.9209730592565
w121,827437.0,119242.0,19026.0,-2.0,184.82483417801146,0.01082105664476738,92.41241708900573,2217.8980101361376
w0013,847536.0,139341.0,39125.0,-2.0,437.1468885234058,0.004575121206410956,218.5734442617029,5245.762662280869
w0167,843234.0,135039.0,34823.0,-2.0,400.9819741258825,0.004987755383168742,200.49098706294126,4811.78368951059
w0031_1.5,833436.0,125241.0,25025.0,-1.5,300.15252983317373,0.004997459127976391,200.10168655544916,2701.3727684985633
w0126,837081.0,128886.0,28670.0,-2.0,295.9857378973557,0.006757082331762809,147.99286894867785,3551.8288547682687
w0036,850106.0,141911.0,41695.0,-2.0,494.31030036416763,0.00404604152194798,247.15515018208382,5931.723604370011
w94,821826.0,113631.0,13415.0,-2.0,123.16083703554209,0.016238928283857267,61.580418517771044,1477.930044426505
w0198,847964.0,139769.0,39553.0,-2.0,442.64573909465565,0.004518285896280409,221.32286954732783,5311.748869135868
w142,823211.0,115016.0,14800.0,-2.0,151.32625653151055,0.013216477073055339,75.66312826575528,1815.9150783781265
w150,829052.0,120857.0,20641.0,-2.0,209.15664298503123,0.009562211228180472,104.57832149251561,2509.8797158203747
w96,827594.0,119399.0,19183.0,-2.0,181.49143570842406,0.011019803728993085,90.74571785421203,2177.8972285010886
w80,819292.0,111097.0,10881.0,-2.0,107.32819974815233,0.018634431628342208,53.664099874076165,1287.938396977828
w0029,836517.0,128322.0,28106.0,-2.0,284.65273897593164,0.00702610488553601,142.32636948796582,3415.8328677111795
